fips,num_beds,num_icu,bed_util
21157,25,4,0.321644
21161,100,5,0.16748
21167,25,4,0.324164
21171,49,9,0.263741
21173,42,4,0.409524
21175,25,4,0.076384
21177,90,6,0.273098
21179,40,4,0.447192
21183,25,4,0.376877
21185,90,8,0.213759
21193,358,32,0.66165
21195,453,85,0.544006
21199,283,38,0.458249
21203,26,4,0.502192
21205,149,14,0.444245
21207,25,2,0.323616
21209,75,6,0.204055
21211,70,4,0.096438
21213,25,4,0.74937
21217,90,8,0.285236
21221,25,4,0.401205
21225,25,4,0.462027
21227,548,32,0.5394655
21231,25,4,0.342685
21235,273,43,0.400972
21239,25,4,0.255014
22001,170,7,0.4254205
22003,109,7,0.165342
22005,103,43,0.204686515
22007,15,3,0.020091
22009,76,6,0.214128
22011,60,6,0.430976
22013,21,4,0.251924
22015,172,11,0.650641
22017,1570,111,0.52775758
22019,857,86,0.3943456
22021,87,13,0.1401415
22023,49,9,
22027,47,4,0.366309
22029,25,5,0.449425
22031,34,6,0.112409
22033,1914,170,0.424673429
22035,23,4,0.140203
22037,299,52,0.001413
22039,285,24,0.2127585
22041,37,6,0.236089
22045,126,11,0.394425
22049,25,4,0.126137
22051,1879,192,0.478553562
22053,49,5,0.50137
22055,1000,158,0.480439875
22057,240,21,0.352817667
22059,81,9,0.314685
22061,165,17,0.309048
22063,,0,
22065,25,5,0.113973
22067,49,6,0.228451
22069,96,8,0.248402
22071,1420,119,0.44922394
22073,921,94,0.3720038
22077,26,4,0.156055
22079,645,65,0.4969708
22081,25,4,0.463781
22083,63,6,0.2263315
22085,48,8,0.079623
22087,40,8,0.3859589
22089,59,8,0.213277
22091,25,4,0.170192
22093,25,4,0.329644
22097,197,22,0.351211
22099,25,4,0.534027
22101,186,15,0.244424
22103,828,245,0.316656143
22105,409,73,0.35207239
22109,507,31,0.292808333
22111,35,6,0.286598
22113,95,10,0.328081
22115,60,7,0.389803
22117,117,13,0.274373
22119,219,16,0.189988
22123,30,5,0.549406
22125,25,4,0.070027
22127,60,5,0.143153
23001,483,34,0.456554
23003,228,24,0.49887325
23005,921,54,0.546989
23007,70,5,0.385445
23009,114,14,0.410835667
23011,335,22,0.583886
23013,99,8,0.564959
23015,25,4,0.497837
23017,75,8,0.4228495
23019,573,59,0.436315
23021,48,8,0.5773155
23025,50,8,0.502247
23027,25,4,0.643945
23029,50,8,0.3547945
23031,229,14,0.5086525
24001,191,14,0.680301
24003,634,50,0.7356695
24005,1004,94,0.7107435
24009,73,4,0.746857
24013,161,12,0.748053
24015,75,5,0.55117
24017,99,10,0.717389
24021,269,18,0.718627
24023,26,2,0.599797
24025,243,19,0.72359
24027,225,48,0.661392
24029,12,6,0.372994
24031,1506,210,0.676271333
24033,661,78,0.720649
24037,93,12,0.67734
24041,97,16,0.612904
24043,237,17,0.72016
24045,266,24,0.604357
24047,40,6,0.597203
24510,3790,566,0.700626385
25001,354,21,0.694853
25003,323,24,0.5409645
25005,811,96,0.5714135
25007,25,4,0.57611
25009,838,98,0.567526
25011,89,6,0.541019
25013,1344,83,0.540425
25015,140,11,0.534664
25017,2068,206,0.561217091
25019,14,3,0.303821
25021,768,59,0.603866
25023,628,47,0.693277
25025,4277,503,0.709476182
25027,1532,190,0.566655444
26003,11,2,0.11208
26005,25,4,0.248219
26007,124,9,0.325728
26011,25,5,0.119562
26013,15,3,0.240753
26015,25,6,0.523186
26017,356,32,0.581874
26019,8,1,0.009932
26021,259,25,0.2583815
26023,71,10,0.359314
26025,256,32,0.5080625
26027,25,4,0.100274
26029,25,4,0.247452
26033,82,6,0.504892
26035,49,9,0.148225
26037,25,2,0.283069
26039,71,6,0.368857
26041,25,9,0.455342
26043,49,6,0.515279
26045,45,7,0.211753
26047,202,18,0.501663
26049,1125,120,0.695289333
26051,25,4,0.123288
26053,25,5,0.359233
26055,425,20,0.591453
26057,67,9,0.557898
26059,65,4,0.276588
26061,61,11,0.3000445
26063,98,11,0.161730333
26065,883,115,0.597231
26067,22,2,0.287547
26069,47,4,0.199242
26071,25,3,0.248877
26073,118,8,0.272256
26075,437,54,0.662987
26077,806,70,0.601158
26079,8,1,0.181332
26081,1335,150,0.628558
26087,183,10,0.352736
26091,113,13,0.170645
26093,107,25,0.50212
26095,25,4,0.192219
26097,15,3,0.39379
26099,1017,124,0.4880935
26101,45,8,0.200913
26103,204,30,0.327035
26105,45,6,0.398965
26107,49,4,0.345932
26111,308,26,0.495907
26115,217,14,0.35287
26117,148,18,0.21380925
26121,196,44,0.510508
26123,25,9,0.443945
26125,4009,415,0.509252583
26127,24,4,0.106964
26129,88,15,0.23759
26131,25,4,0.055123
26133,25,4,0.168438
26137,46,4,0.355926
26139,309,22,0.278411333
26145,570,99,0.634207
26147,375,23,0.333259
26149,144,13,0.160157
26151,65,11,0.136888667
26153,12,2,0.3879
26155,107,7,0.401678
26157,50,8,0.106609
26159,74,14,0.1110015
26161,1695,80,0.50379825
26163,5166,555,0.640731587
26165,49,20,0.489628
27001,25,4,0.382247
27003,546,35,0.709101
27005,87,8,0.443455
27007,118,10,0.539049
27011,40,7,0.1094615
27013,272,29,0.617554
27015,78,7,0.31992
27017,105,6,0.3225255
27019,109,18,0.504379
27021,5,1,0.012603
27023,30,4,0.228603
27025,61,10,0.446476
27029,48,8,0.0634115
27031,16,3,0.207363
27033,26,4,0.146423
27035,204,16,0.4228375
27037,244,23,0.441864
27041,127,8,0.296361
27043,43,4,0.355594
27047,159,18,0.251624
27049,83,12,0.409932
27051,10,2,0.171781
27053,5100,277,0.5699024
27057,50,4,0.457205
27059,86,12,0.37773
27061,104,12,0.214596667
27063,20,2,0.174168
27065,49,4,0.336329
27067,136,40,0.414375
27069,15,3,0.107215
27071,25,3,0.368217
27073,32,5,0.261164
27075,25,3,0.413527
27077,15,3,0.206575
27079,15,2,0.2
27081,44,7,0.0775195
27083,74,8,0.232877
27085,115,10,0.389043
27087,18,2,0.145205
27089,12,2,0.222146
27091,57,10,0.217235
27093,35,4,0.280877
27095,28,5,0.277593
27097,49,4,0.342795
27101,25,3,0.168356
27103,25,3,0.475745
27105,48,8,0.144121
27107,14,2,0.049119
27109,2120,250,0.461263
27111,133,9,0.2413595
27113,26,4,0.344219
27115,30,2,0.260578
27117,44,3,0.160122
27119,92,9,0.2215185
27121,34,3,0.465033
27123,1605,123,0.746037
27127,25,4,0.190718
27129,16,3,0.262842
27131,49,6,0.323031
27133,28,4,0.232219
27135,25,4,0.315178
27137,1121,97,0.3999335
27139,142,19,0.523532
27141,54,4,0.375924
27143,20,3,0.150171
27145,575,52,0.410744
27147,43,5,0.502031
27149,49,4,0.276164
27151,36,6,0.140624
27153,71,5,0.4845005
27155,25,3,0.099909
27157,25,2,0.25773
27159,124,15,0.261699
27161,35,3,0.456438
27163,183,31,0.5172005
27165,50,8,0.186575
27167,25,4,0.276822
27169,49,8,0.421035
27171,90,11,0.4170275
27173,55,8,0.184239
28001,159,15,0.312086
28003,200,24,0.516699
28005,25,3,0.544863
28007,25,4,0.342466
28011,164,8,0.193024
28013,25,4,0.491945
28017,84,7,0.130664
28019,25,3,0.4865753
28021,32,4,0.362765
28023,25,4,0.433425
28025,49,6,0.337042
28027,181,10,0.148879
28029,25,4,0.604055
28031,35,4,0.575781
28033,406,62,0.57539675
28035,542,45,0.719293
28037,25,4,0.671347
28039,48,6,0.193151
28041,7,1,0.519374
28043,156,9,0.368409
28045,102,6,0.190443
28047,773,57,0.473119667
28049,2313,174,0.58636175
28051,25,4,0.285808
28059,435,48,0.562252
28061,16,3,0.319589
28063,30,2,0.094521
28065,35,4,0.199014
28067,285,14,0.363279
28069,25,4,0.4043836
28071,217,24,0.536727
28073,211,17,0.477787
28075,698,60,0.3840518
28077,25,4,0.260822
28079,25,4,0.6296986
28081,650,42,0.581783
28083,208,9,0.297949
28085,99,5,0.189224
28087,315,18,0.381914
28089,67,7,0.175833
28091,49,6,0.374616
28093,40,5,0.203348
28095,130,13,0.3970035
28097,25,4,0.422795
28099,68,11,0.185393
28101,25,4,0.584986
28103,25,4,0.400548
28105,96,6,0.232055
28107,112,8,0.576271
28109,84,10,0.3949395
28111,22,4,0.187298
28113,191,19,0.2341955
28115,25,4,0.627069
28117,114,7,0.160731
28121,471,44,0.24659
28123,35,4,0.451836
28125,29,3,0.3031
28127,99,12,0.3057395
28129,29,3,0.000720981
28131,25,4,0.540932
28133,84,12,0.473744
28135,18,2,1
28139,25,4,0.423781
28141,48,8,0.265753
28145,153,8,0.26215
28147,25,4,0.198685
28149,361,22,0.324353
28151,227,22,0.41376
28153,80,6,0.543304
28155,38,7,0.535256
28159,41,2,0.239922
28161,26,5,0.600105
28163,25,4,0.457205
29001,93,10,0.458931
29005,18,3,0.341952
29007,70,7,0.289384
29009,43,7,0.2229405
29011,25,4,0.253333
29013,60,8,0.207161
29019,1012,143,0.5848426
29021,352,21,0.538597
29023,240,14,0.559714
29027,37,3,0.050533
29029,116,18,0.402575
29031,550,45,0.5060235
29033,25,4,0.220744
29037,106,9,0.3624395
29039,25,4,0.187507
29047,683,38,0.390271333
29049,58,5,0.578485
29051,268,25,0.4459445
29055,35,4,0.523397
29065,55,4,0.395288
29071,148,13,0.377434
29073,24,4,0.408105
29075,35,4,0.228822
29077,1512,195,0.7084095
29079,22,4,0.369863
29081,19,4,0.455969
29083,56,8,0.420417
29091,139,16,0.302568
29093,15,4,0.2663014
29095,2534,238,0.662059444
29097,25,4,0.55463
29099,321,28,0.402602
29101,62,8,0.429694
29105,58,4,0.356164
29107,32,2,0.292932
29109,53,4,0.196384
29113,25,4,0.35189
29115,25,4,0.123507
29117,25,4,0.587397
29121,25,4,0.437151
29123,144,4,0.213479
29127,99,8,0.479898
29145,628,91,0.539849333
29147,81,7,0.180451
29155,167,7,0.349399
29157,25,4,0.625205
29159,99,9,0.373963
29161,242,18,0.283243
29163,25,4,0.175233
29165,97,12,0.628562
29167,86,8,0.446839
29171,15,3,0.285114
29175,99,8,0.261622
29177,34,4,0.336877
29183,737,51,0.52222475
29185,12,2,0.063123
29186,47,4,0.417863
29187,133,11,0.1422775
29189,4550,469,0.5326467
29195,60,7,0.270711
29199,25,4,0.344877
29201,125,12,0.305953
29207,48,4,0.28339
29211,25,3,0.518292
29213,157,18,0.688637
29215,66,4,0.268551
29217,71,6,0.173471
29221,25,4,0.375123
29510,1430,192,0.617568333
30001,18,3,0.339269
30003,49,8,0.1979795
30005,6,1,0.008219178
30007,25,4,0.826082
30009,10,2,0.5479452
30011,25,4,0.632767
30013,549,24,0.440785
30015,50,5,0.4158905
30017,25,4,0.560548
30019,25,4,0.831233
30021,25,3,0.275068
30023,25,4,0.554301
30025,25,4,0.596931
30027,25,4,0.398213
30029,247,25,0.443241
30031,90,9,0.3382135
30033,25,1,0.006164
30035,46,8,0.130211
30039,25,4,0.831233
30041,49,6,0.166173
30047,47,9,0.366162
30049,123,8,0.552991
30051,25,4,0.845589
30053,25,4,0.271671
30055,25,4,0.5379
30057,15,4,0.280137
30059,25,4,0.693808
30061,25,4,0.655936
30063,404,32,0.5301335
30065,25,4,0.843288
30067,25,4,0.432548
30071,6,1,0.247945
30073,20,3,0.137123
30077,16,3,0.1964041
30079,22,4,0.945206
30081,25,5,0.585425
30083,25,4,0.50663
30085,67,13,0.346711
30087,25,1,0.3422466
30089,16,3,0.313699
30091,19,3,0.223792
30093,98,11,0.551457
30095,10,2,0.358356
30097,25,4,0.830904
30099,25,4,0.901808
30101,21,4,0.155382
30105,25,4,0.171397
30107,25,4,0.774575
30111,590,41,0.6270395
31001,170,10,0.385228
31003,23,4,0.115783
31011,25,4,0.387726
31013,25,4,0.333151
31015,15,3,0.042877
31017,23,4,0.136748
31019,267,34,0.4029705
31021,16,3,0.050171
31023,20,3,0.207123
31029,20,4,0.075479
31031,19,4,0.171616
31033,25,4,0.282624
31037,25,4,0.040219
31039,25,4,0.204493
31041,35,6,0.13039
31045,25,4,0.200877
31047,57,9,0.211315
31053,75,9,0.405918
31055,2260,227,0.525214938
31057,14,2,0.124853
31059,20,3,0.211781
31061,14,2,0.045401
31065,20,3,0.26411
31067,25,3,0.404274
31069,10,2,0.073425
31079,157,16,0.406086
31081,12,2,0.292759
31083,19,3,0.112473
31089,42,7,0.250943
31093,10,3,0.151027
31095,17,3,0.160838
31097,18,3,0.196195
31099,10,2,0.203562
31101,18,3,0.119787
31105,15,3,0.227032
31107,23,4,0.119357
31109,716,81,0.381062
31111,116,19,0.502023
31119,131,24,0.385578
31121,20,3,0.163836
31123,20,3,0.102055
31125,19,3,0.083057
31127,16,3,0.128425
31129,25,4,0.183781
31131,28,5,0.1331445
31133,11,3,0.11942
31135,20,3,0.233014
31137,25,4,0.385534
31139,35,6,0.1873285
31141,47,5,0.34608
31143,16,3,0.067637
31145,25,4,0.374466
31147,24,4,0.316667
31149,24,4,0.089954
31151,43,7,0.0978645
31153,212,13,0.40994345
31155,16,3,0.131336
31157,166,22,0.448641
31159,24,4,0.330251
31161,25,4,0.161425
31169,17,3,0.187311
31173,34,6,0.203412
31175,16,3,0.327397
31177,21,4,0.086758
31179,21,4,0.194781
31181,13,2,0.081349
31185,38,6,0.2137155
32001,40,4,0.496767
32003,4978,588,0.619347444
32005,23,4,0.504586
32007,75,7,0.199257
32013,53,3,0.308164
32015,25,2,0.222466
32017,20,1,0.506849
32019,63,2,0.164384
32021,35,2,0.620922
32023,25,4,0.388055
32027,38,2,0.104742
32031,1392,291,0.4798728
32033,25,4,0.184
32510,226,27,0.5167405
33001,137,10,0.630742
33003,50,8,0.474247
33005,169,27,0.584932
33007,66,10,0.352173667
33009,506,64,0.5664748
33011,1047,66,0.5747102
33013,345,26,0.601775667
33015,406,43,0.684203333
33017,290,17,0.5997995
33019,25,4,0.372932
34001,447,54,0.5493135
34003,2754,112,0.647653317
34005,641,82,0.632884333
34007,1558,166,0.641776825
34009,242,16,0.43295
34011,335,24,0.675929
34013,3146,215,0.648251857
34015,311,46,0.43785
34017,1590,89,0.509913667
34019,184,12,0.568511
34021,955,83,0.70395175
34023,2370,188,0.6604584
34025,2095,128,0.5909448
34027,1231,97,0.613020333
34029,1306,106,0.56251675
34031,920,53,0.651362
34033,222,19,0.282618
34035,311,28,0.571394
34037,148,10,0.71393
34039,1162,76,0.575955667
34041,309,20,0.540751
35001,1509,166,0.5855548
35005,189,24,0.4251675
35006,31,5,0.148621
35007,25,4,0.240767
35009,100,8,0.283148
35013,367,51,0.5881575
35015,148,18,0.242555
35017,68,6,0.333219
35019,10,2,0.16
35025,86,12,0.1546035
35027,25,4,0.400548
35028,47,6,0.131507
35029,25,6,0.46389
35031,191,26,0.37604775
35035,106,11,0.303014
35037,25,4,0.093151
35039,70,8,0.40615
35041,24,4,0.129589
35043,60,11,0.5457078
35045,254,21,0.4175035
35047,54,8,0.195354
35049,240,25,0.372717
35051,25,2,0.369365
35053,24,4,0.169064
35055,25,6,0.494904
35059,25,4,0.085808
36001,1355,114,0.591524333
36003,55,9,0.338697
36005,2440,241,0.704134
36007,462,47,0.64005925
36009,186,46,0.421495
36011,99,15,0.554424
36013,356,27,0.317609
36015,391,24,0.698409
36017,58,7,0.17265
36019,300,21,0.439662
36021,192,9,0.65912
36023,162,12,0.305316
36025,63,10,0.35201
36027,692,59,0.620621333
36029,2095,233,0.643468714
36031,25,4,0.494575
36033,171,13,0.2716985
36035,74,8,0.363344
36037,111,10,0.373365
36043,25,4,0.610849
36045,330,18,0.468668333
36047,5504,280,0.723626154
36049,31,6,0.465315
36051,67,12,0.307708
36053,126,10,0.397739
36055,2025,196,0.91822125
36057,120,8,0.620712
36059,4758,334,0.7025333
36061,7519,845,0.702397015
36063,482,32,0.523984667
36065,701,37,0.589986333
36067,1336,144,0.706133667
36069,384,27,0.447926
36071,807,76,0.53702825
36073,39,4,0.302027
36075,132,8,0.266687
36077,233,26,0.5468095
36079,164,10,0.429521
36081,2307,106,0.753229333
36083,292,30,0.7204365
36085,920,72,0.7744095
36087,807,50,0.6598225
36089,279,27,0.5144184
36091,171,30,0.807803
36093,483,39,0.665784
36095,25,7,0.270993
36097,25,4,0.396493
36101,115,14,0.412850667
36103,3120,256,0.72716
36105,169,18,0.3499315
36109,212,16,0.43833
36111,325,28,0.602716667
36113,391,24,0.367594
36117,120,8,0.499471
36119,2603,200,0.6600744
36121,62,5,0.308219
36123,35,4,0.233096
37001,238,20,0.531896
37005,41,4,0.148493
37007,15,3,0.136986
37009,76,4,0.500055
37011,50,4,0.201174
37013,142,8,0.468912
37015,6,1,0.636073
37017,58,4,0.393096
37019,99,23,0.47072
37021,815,146,0.787762
37023,315,16,0.484229
37025,457,15,0.645687
37027,110,12,0.487248
37031,135,8,0.704331
37035,613,52,0.3895795
37037,25,4,0.49074
37039,57,5,0.658411
37041,49,4,0.567781
37045,375,57,0.383516
37047,154,27,0.301477
37049,350,72,0.599847
37051,634,48,0.798871
37055,21,4,0.293281
37057,240,29,0.4287585
37059,50,9,
37061,81,9,0.443053
37063,1416,169,0.642937667
37065,117,15,0.381392
37067,1902,205,0.615215333
37071,435,57,0.734847
37077,1042,164,0.4550554
37081,1234,112,0.6492435
37083,204,16,0.499069
37085,232,32,0.304926
37087,154,12,0.37925
37089,325,27,0.5068035
37091,114,10,0.511311
37093,49,11,0.199866
37097,514,36,0.405341333
37099,86,9,0.422185
37101,199,24,0.522538
37105,137,8,0.306332
37107,261,190,0.448511
37109,101,10,0.511434
37111,65,9,0.437365
37113,83,9,0.454189
37117,49,6,0.252819
37119,2517,176,0.724421843
37121,46,4,0.476603
37123,37,2,0.493836
37125,402,56,0.663971
37127,345,21,0.437769
37129,861,45,0.662293
37133,162,14,0.485388
37135,1006,47,0.842581
37139,182,10,0.58883
37141,86,4,0.34389
37145,98,6,0.244557
37147,1040,83,0.631948
37149,35,6,0.491178
37151,145,12,0.257175
37155,452,25,0.709043
37157,229,9,0.25411
37159,268,20,0.696766
37161,143,18,0.249216
37163,146,8,0.373413
37165,104,8,0.510832
37167,109,10,0.320717
37169,99,4,0.275726
37171,226,24,0.371868
37173,68,8,0.2802735
37175,92,4,0.612712
37179,182,14,0.506895
37181,184,20,0.517025
37183,1963,175,0.7289455
37187,49,4,0.091616
37189,117,10,0.379207
37191,316,16,0.493665
37193,130,8,0.330387
37195,294,14,0.257088
38001,25,4,0.270685
38003,25,4,0.32274
38009,25,4,0.601644
38011,23,4,0.134842
38015,510,52,0.554942
38017,787,161,0.6958185
38019,20,3,0.081096
38021,20,3,0.220274
38023,15,3,0.292968
38029,14,2,0.103327
38031,25,4,0.133041
38035,349,36,0.4168045
38037,25,5,0.831324
38039,18,3,0.114764
38051,44,7,0.1236645
38053,24,4,0.071804
38055,47,8,0.665427
38057,13,2,0.302424
38061,11,2,0.148942
38063,19,3,0.105984
38067,20,3,0.10726
38069,25,4,0.294137
38071,25,4,0.346521
38073,25,4,0.388164
38079,52,9,0.2491015
38085,12,2,0.042237
38089,25,4,0.494247
38093,25,6,0.308274
38095,20,3,0.1838356
38097,41,7,0.2039005
38099,28,4,0.393542
38101,190,23,0.6084895
38103,25,4,0.214466
38105,50,8,0.299781
39001,25,4,0.543014
39003,790,40,0.35905725
39005,123,6,0.528767
39007,413,39,0.516079
39009,64,11,0.118322
39011,131,6,0.387443
39013,25,4,0.226411
39017,694,56,0.5447195
39021,25,4,0.323836
39023,254,42,0.3826295
39025,160,16,0.523592
39027,179,8,0.350137
39029,331,20,0.411703
39031,56,7,0.315607
39033,75,9,0.3983015
39035,6503,659,0.567519553
39037,104,6,0.273562
39039,104,16,0.293538
39041,64,6,0.234461
39043,287,18,0.544307
39045,255,22,0.3496622
39047,25,5,0.393753
39049,3915,463,0.606157625
39051,117,7,0.275288
39053,287,14,0.251653
39055,124,12,0.550331
39057,206,20,0.53258105
39059,189,11,0.324536
39061,3409,268,0.609030463
39063,201,29,0.2917965
39065,25,4,0.146959
39067,25,4,0.097644
39069,31,5,0.286027
39071,70,8,0.3900825
39073,25,4,0.410521
39075,69,4,0.257735
39077,139,12,0.3150895
39079,25,6,0.311644
39081,256,20,0.4825923
39083,111,12,0.499304
39085,135,27,0.49755
39087,8,1,0.025685
39089,227,13,0.327616
39091,115,7,0.25346
39093,695,58,0.53401825
39095,3147,243,0.54195975
39097,94,13,0.246454
39099,980,66,0.5816215
39101,174,15,0.355377
39103,191,15,0.407495
